county_label,month,housing_burden,price_income_ratio,total_county_invoice_count,total_county_invoice_amount,donation_count,donation_ratio,carrier_usage_ratio,n_active_industries,industry_hhi,date,year,month_num,month_sin,month_cos,avg_invoice_value,log_total_count,log_total_amount,county_type,donation_seasonal,donation_trend,donation_ratio_lag1,donation_ratio_lag2,donation_ratio_lag3,donation_ratio_roll3,county_name
15,2023-08,38.3,-0.05,8356840,3667726908,14615,0.0017488667965403,0.4622032969399917,41.0,0.5667015625412374,2023-08-01,2023,8,-0.8660254037844384,-0.5000000000000004,438.8892102756544,15.938591042836322,22.022837936278844,remote,-0.0002733855794439273,0.002050546317513772,0.001658151618717,0.0018639473186116,0.002082628145524,0.0018682423609508666,花蓮縣
15,2023-09,38.3,-0.05,7374989,3172196914,16924,0.0022947830837442,0.4642778450245824,41.0,0.599372891335926,2023-09-01,2023,9,-1.0,-1.8369701987210297e-16,430.1290366670377,15.813605104257036,21.87769021792207,remote,0.00011803444403203667,0.0021479696071999028,0.0017488667965403,0.001658151618717,0.0018639473186116,0.0017569885779563001,花蓮縣
15,2023-10,38.02,-0.06,7635095,3541941470,17213,0.0022544578685661,0.4750665184912565,41.0,0.5832569243085772,2023-10-01,2023,10,-0.8660254037844386,0.5000000000000001,463.902737294035,15.848266070229693,21.987940851890457,remote,-0.00029937780185845586,0.0022460445090025675,0.0022947830837442,0.0017488667965403,0.001658151618717,0.0019006004996671665,花蓮縣
15,2023-11,38.02,-0.06,7359842,3250376463,17935,0.0024368729654794,0.47496155488120534,42.0,0.5951487343782706,2023-11-01,2023,11,-0.5000000000000004,0.8660254037844384,441.63671760888343,15.811549158955799,21.902036661656616,remote,-0.00018353967827307584,0.0023452652627899855,0.0022544578685661,0.0022947830837442,0.0017488667965403,0.0020993692496168665,花蓮縣
15,2023-12,38.02,-0.06,7481354,4169834892,18237,0.0024376603486481,0.47924934443684925,40.0,0.5893630209618308,2023-12-01,2023,12,-2.4492935982947064e-16,1.0,557.3636659888036,15.827924483277648,22.15114227796846,remote,-0.0005010407421409282,0.0024456089325178587,0.0024368729654794,0.0022544578685661,0.0022947830837442,0.002328704639263233,花蓮縣
15,2024-01,39.14,0.26,7204876,3334829029,18870,0.0026190596479384,0.4864018478596995,40.0,0.578192749617886,2024-01-01,2024,1,0.49999999999999994,0.8660254037844387,462.85724126272265,15.7902687157919,21.92768724963257,remote,8.967391249439608e-05,0.0025465501853958023,0.0024376603486481,0.0024368729654794,0.0022544578685661,0.0023763303942312005,花蓮縣
15,2024-02,39.14,0.26,7390332,3393607086,15824,0.0021411757956205,0.4810001769879892,41.0,0.5911171395984659,2024-02-01,2024,2,0.8660254037844386,0.5000000000000001,459.1954848577845,15.815683352802271,21.945159230115273,remote,-0.0005027165014736056,0.0026483709952509,0.0026190596479384,0.0024376603486481,0.0024368729654794,0.0024978643206886334,花蓮縣
15,2024-03,39.14,0.26,7422297,3138615593,24278,0.0032709550695694,0.4996208047185393,42.0,0.5777619807473164,2024-03-01,2024,3,1.0,6.123233995736766e-17,422.86311003184056,15.819999270699375,21.867047646013827,remote,0.0005100721728849455,0.0027500691786226726,0.0021411757956205,0.0026190596479384,0.0024376603486481,0.002399298597402333,花蓮縣
15,2024-04,42.0,0.58,6709277,2721180793,19630,0.0029257996055312,0.5072118799089679,43.0,0.6117486795875924,2024-04-01,2024,4,0.8660254037844387,-0.49999999999999983,405.5848033998298,15.719001902562379,21.724331738494648,remote,0.00010120821253469,0.0028517330406313893,0.0032709550695694,0.0021411757956205,0.0026190596479384,0.0026770635043761003,花蓮縣
15,2024-05,42.0,0.58,6940388,2782076804,26063,0.0037552655557585,0.5132488270108242,41.0,0.609117442433702,2024-05-01,2024,5,0.49999999999999994,-0.8660254037844387,400.85320935947675,15.752868382785339,21.746463537902663,remote,0.0008057295696709393,0.0029534021633086695,0.0029257996055312,0.0032709550695694,0.0021411757956205,0.002779310156907033,花蓮縣
