county_code,county_name,month,actual_donation_ratio,predicted_donation_ratio,invoice_count,expected_donated_count,normalized_priority_score,rank,model_name
17,雲林縣,2024-07,0.0057084904173503,0.007470216701033702,12550078,93751.80227487563,0.019299711514425607,76,Ridge
17,雲林縣,2024-03,0.0067437219132936,0.007609006649065749,12189263,92748.18321421112,0.01906699111059002,77,Ridge
17,雲林縣,2024-04,0.0063642443192899,0.007455551119942377,12243716,91283.65053605639,0.018727393498658543,78,Ridge
17,雲林縣,2024-09,0.0064444017379692,0.007118988254855754,12420703,88422.83877405163,0.018064025000943357,79,Ridge
17,雲林縣,2024-12,0.0064326120715438,0.006905958699412127,12110166,83632.30623902497,0.016953190512207405,80,Ridge
17,雲林縣,2024-10,0.0060430726035567,0.006561974418918568,12562649,82435.78137185294,0.01667573887622191,81,Ridge
17,雲林縣,2023-06,0.0056819306295556,0.007010591895735036,11672089,81828.25254969805,0.016534864356820066,82,Ridge
17,雲林縣,2023-05,0.0061867544953126,0.006924643459797637,11678498,80869.43479595978,0.01631253253431865,83,Ridge
17,雲林縣,2023-08,0.005038645141422,0.0064761438541054515,12235432,79238.41774912518,0.01593433032525463,84,Ridge
17,雲林縣,2023-07,0.0051030427812622,0.006337405575483461,12119044,76803.29701512938,0.015369671578908494,85,Ridge
17,雲林縣,2024-11,0.006130263498029,0.006298236160534553,12061798,75968.05232466335,0.015175994028047628,86,Ridge
17,雲林縣,2023-09,0.0055740085692568,0.006267465184535195,11774650,73797.20893508733,0.014672616232540792,87,Ridge
17,雲林縣,2023-04,0.0053610497122875,0.006103443841669465,11368296,69385.75621147561,0.013649683229792951,88,Ridge
17,雲林縣,2023-12,0.0059901431033413,0.005768572885400964,11864992,68444.07113669935,0.013431324153648288,89,Ridge
17,雲林縣,2024-02,0.0053547059173241,0.005681610120209844,11908964,67662.0903836147,0.013249997509125396,90,Ridge
17,雲林縣,2024-01,0.0057799474212183,0.005688015957511065,11563600,65773.94132627494,0.012812171217907939,91,Ridge
17,雲林縣,2023-10,0.0055952979143864,0.005285975485816173,12263154,64822.73142278854,0.012591603512941084,92,Ridge
17,雲林縣,2023-11,0.0063155595080657,0.005018932735983268,11653916,58490.22051479918,0.011123213210723447,93,Ridge
17,雲林縣,2023-03,0.0062861026922412,0.00478107701471864,11197399,53535.62698353349,0.009974336059392852,94,Ridge
15,花蓮縣,2024-08,0.0029313520350556,0.005292655387899766,7660970,40546.87414703847,0.006962488313667168,95,Ridge
15,花蓮縣,2024-07,0.0034077178914512,0.005413900433219631,7454549,40358.18606055697,0.006918735091547348,96,Ridge
15,花蓮縣,2024-06,0.0032211034658418,0.005437326689941556,7082666,38510.768877741604,0.006490353756747939,97,Ridge
15,花蓮縣,2024-09,0.0035000894997585,0.005037419443880264,7396668,37260.119203126946,0.006200351594831586,98,Ridge
15,花蓮縣,2024-05,0.0037552655557585,0.005200184857713893,6940388,36091.30058425921,0.005929324517273542,99,Ridge
15,花蓮縣,2024-03,0.0032709550695694,0.004452894237869409,7422297,33050.7035430554,0.0052242671911784,100,Ridge
17,雲林縣,2023-02,0.0053043938591847,0.003249037629994665,10106150,32835.261644370585,0.005174310262668255,101,Ridge
15,花蓮縣,2023-07,0.001658151618717,0.003917612279595856,8159085,31964.131586266354,0.00497231156927845,102,Ridge
15,花蓮縣,2024-04,0.0029257996055312,0.004532853981572471,6709277,30412.172962922603,0.0046124415232457056,103,Ridge
17,雲林縣,2023-01,0.0049376184121969,0.002621323571968707,11567115,30321.151209172807,0.004591335288698455,104,Ridge
15,花蓮縣,2023-05,0.002082628145524,0.004069888230534952,7332562,29842.707783467828,0.004480393247433494,105,Ridge
15,花蓮縣,2024-10,0.0030249297354783,0.0040807848435126925,7277855,29699.360377283065,0.004447153677198535,106,Ridge
15,花蓮縣,2023-08,0.0017488667965403,0.0035304867096170554,8356840,29503.712554396192,0.004401786622968178,107,Ridge
15,花蓮縣,2024-11,0.0033294179448417,0.004065315607198801,7226188,29376.734856952688,0.004372342880630722,108,Ridge
15,花蓮縣,2024-12,0.0029397662485475,0.003992679637938084,7343441,29320.00735309968,0.004359188838302635,109,Ridge
15,花蓮縣,2023-06,0.0018639473186116,0.0038584084387252157,7496993,28926.46105626387,0.004267932846146618,110,Ridge
15,花蓮縣,2023-09,0.0022947830837442,0.0033097043467212655,7374989,24409.03315032152,0.0032204261897136786,111,Ridge
15,花蓮縣,2023-04,0.0017804875070053,0.0031881482866652835,7369330,23494.516813371072,0.0030083670334154376,112,Ridge
15,花蓮縣,2024-01,0.0026190596479384,0.003075313621835169,7204876,22157.253306433286,0.0026982807511131686,113,Ridge
15,花蓮縣,2023-03,0.0018876092608042,0.003060973061833237,7110052,21763.67764023353,0.002607017948753455,114,Ridge
15,花蓮縣,2024-02,0.0021411757956205,0.0028428816066848666,7390332,21009.838910094582,0.0024322169106098745,115,Ridge
15,花蓮縣,2023-10,0.0022544578685661,0.002520515679972103,7635095,19244.376665576605,0.00202283938620468,116,Ridge
15,花蓮縣,2023-11,0.0024368729654794,0.0026085893659686934,7359842,19198.80557640976,0.0020122723068318415,117,Ridge
15,花蓮縣,2023-12,0.0024376603486481,0.0017990727908855455,7481354,13459.50042038274,0.0006814352731450621,118,Ridge
15,花蓮縣,2023-02,0.001611905050052,0.0019204792303744449,6395538,12282.497896070516,0.00040851050167641,119,Ridge
15,花蓮縣,2023-01,0.0014841444411398,0.0013975073244801642,7528243,10520.774732966525,0.0,120,Ridge
