month,industry_invoice_count,industry_invoice_amount,housing_burden,price_income_ratio,total_county_invoice_count,total_county_invoice_amount,donation_count,donation_ratio,industry_label,carrier_type_label,county_label
2019-04,2529,301780,33.14,0.16,8137131,3331765710,7447,0.0009151874290828,0,0,0
2019-04,24968,6840539,33.14,0.16,8137131,3331765710,7447,0.0009151874290828,0,1,0
2019-04,224,946168,33.14,0.16,8137131,3331765710,7447,0.0009151874290828,1,1,0
2019-04,140,252800,33.14,0.16,8137131,3331765710,7447,0.0009151874290828,2,1,0
2019-04,64081,74469526,33.14,0.16,8137131,3331765710,7447,0.0009151874290828,4,1,0
2019-04,937,1427355,33.14,0.16,8137131,3331765710,7447,0.0009151874290828,4,0,0
2019-04,75,565369,33.14,0.16,8137131,3331765710,7447,0.0009151874290828,6,1,0
2019-04,963,1320160,33.14,0.16,8137131,3331765710,7447,0.0009151874290828,8,1,0
2019-04,165,264953,33.14,0.16,8137131,3331765710,7447,0.0009151874290828,9,0,0
2019-04,676,2697701,33.14,0.16,8137131,3331765710,7447,0.0009151874290828,9,1,0
2019-04,15162,23028295,33.14,0.16,8137131,3331765710,7447,0.0009151874290828,10,0,0
2019-04,297,477522,33.14,0.16,8137131,3331765710,7447,0.0009151874290828,10,1,0
2019-04,1095,1368965,33.14,0.16,8137131,3331765710,7447,0.0009151874290828,12,1,0
2019-04,6,6200,33.14,0.16,8137131,3331765710,7447,0.0009151874290828,12,0,0
2019-04,5,221992,33.14,0.16,8137131,3331765710,7447,0.0009151874290828,19,1,0
2019-04,331,3003578,33.14,0.16,8137131,3331765710,7447,0.0009151874290828,19,0,0
2019-04,134,361708646,33.14,0.16,8137131,3331765710,7447,0.0009151874290828,24,1,0
2019-04,1142,1072514,33.14,0.16,8137131,3331765710,7447,0.0009151874290828,29,0,0
2019-04,1942,3306360,33.14,0.16,8137131,3331765710,7447,0.0009151874290828,29,1,0
2019-04,9841,15176893,33.14,0.16,8137131,3331765710,7447,0.0009151874290828,42,0,0
2019-04,230,433340,33.14,0.16,8137131,3331765710,7447,0.0009151874290828,42,1,0
2019-04,7610,25048160,33.14,0.16,8137131,3331765710,7447,0.0009151874290828,44,0,0
2019-04,87775,137381571,33.14,0.16,8137131,3331765710,7447,0.0009151874290828,44,1,0
2019-04,77,748780,33.14,0.16,8137131,3331765710,7447,0.0009151874290828,45,1,0
2019-04,2,8400,33.14,0.16,8137131,3331765710,7447,0.0009151874290828,45,0,0
2019-04,846,516804,33.14,0.16,8137131,3331765710,7447,0.0009151874290828,49,1,0
2019-04,2,400,33.14,0.16,8137131,3331765710,7447,0.0009151874290828,49,0,0
2019-04,154,44870,33.14,0.16,8137131,3331765710,7447,0.0009151874290828,51,0,0
2019-04,105360,10683725,33.14,0.16,8137131,3331765710,7447,0.0009151874290828,51,1,0
2019-04,3,17779,33.14,0.16,8137131,3331765710,7447,0.0009151874290828,53,1,0
2019-04,73784,35604915,33.14,0.16,8137131,3331765710,7447,0.0009151874290828,60,0,0
2019-04,3171,211717,33.14,0.16,8137131,3331765710,7447,0.0009151874290828,67,1,0
2019-04,680,29280,33.14,0.16,8137131,3331765710,7447,0.0009151874290828,67,0,0
2019-04,581,67885,33.14,0.16,8137131,3331765710,7447,0.0009151874290828,76,1,0
2019-04,133,141551,33.14,0.16,8137131,3331765710,7447,0.0009151874290828,78,1,0
2019-04,449,181321,33.14,0.16,8137131,3331765710,7447,0.0009151874290828,79,0,0
2019-04,74968,42137969,33.14,0.16,8137131,3331765710,7447,0.0009151874290828,79,1,0
2019-04,8160,1129674,33.14,0.16,8137131,3331765710,7447,0.0009151874290828,80,0,0
2019-04,26494,3371677,33.14,0.16,8137131,3331765710,7447,0.0009151874290828,80,1,0
2019-04,15,20018711,33.14,0.16,8137131,3331765710,7447,0.0009151874290828,84,1,0
2019-04,2163,470032,33.14,0.16,8137131,3331765710,7447,0.0009151874290828,87,0,0
2019-04,8366,4838085,33.14,0.16,8137131,3331765710,7447,0.0009151874290828,87,1,0
2019-04,5404451,1539401472,33.14,0.16,8137131,3331765710,7447,0.0009151874290828,88,1,0
2019-04,715240,151304399,33.14,0.16,8137131,3331765710,7447,0.0009151874290828,88,0,0
2019-04,9256,28867276,33.14,0.16,8137131,3331765710,7447,0.0009151874290828,89,1,0
2019-04,350399,192675996,33.14,0.16,8137131,3331765710,7447,0.0009151874290828,89,0,0
2019-04,401,1306989,33.14,0.16,8137131,3331765710,7447,0.0009151874290828,90,1,0
2019-04,220149,307341400,33.14,0.16,8137131,3331765710,7447,0.0009151874290828,90,0,0
2019-04,95,58249,33.14,0.16,8137131,3331765710,7447,0.0009151874290828,93,0,0
2019-04,1109,42692909,33.14,0.16,8137131,3331765710,7447,0.0009151874290828,93,1,0
2019-04,1341,1369750,33.14,0.16,8137131,3331765710,7447,0.0009151874290828,94,0,0
2019-04,400,914590,33.14,0.16,8137131,3331765710,7447,0.0009151874290828,94,1,0
2019-04,294,125056,33.14,0.16,8137131,3331765710,7447,0.0009151874290828,99,0,0
2019-04,40004,132631821,33.14,0.16,8137131,3331765710,7447,0.0009151874290828,99,1,0
2019-04,92,49085,33.14,0.16,8137131,3331765710,7447,0.0009151874290828,100,0,0
2019-04,41543,10069779,33.14,0.16,8137131,3331765710,7447,0.0009151874290828,100,1,0
2019-04,801921,138014384,33.14,0.16,8137131,3331765710,7447,0.0009151874290828,101,1,0
2019-04,24700,3398593,33.14,0.16,8137131,3331765710,7447,0.0009151874290828,101,0,0
2019-05,24375,6421966,33.14,0.16,7979018,3333388778,7929,0.0009937313087901,0,1,0
2019-05,2385,289315,33.14,0.16,7979018,3333388778,7929,0.0009937313087901,0,0,0
2019-05,87,395788,33.14,0.16,7979018,3333388778,7929,0.0009937313087901,1,1,0
2019-05,80,121350,33.14,0.16,7979018,3333388778,7929,0.0009937313087901,2,1,0
2019-05,42455,59368145,33.14,0.16,7979018,3333388778,7929,0.0009937313087901,4,1,0
2019-05,345,546255,33.14,0.16,7979018,3333388778,7929,0.0009937313087901,4,0,0
2019-05,59,497069,33.14,0.16,7979018,3333388778,7929,0.0009937313087901,6,1,0
2019-05,951,1426960,33.14,0.16,7979018,3333388778,7929,0.0009937313087901,8,1,0
2019-05,198,300520,33.14,0.16,7979018,3333388778,7929,0.0009937313087901,9,0,0
2019-05,752,3081671,33.14,0.16,7979018,3333388778,7929,0.0009937313087901,9,1,0
2019-05,14350,19660889,33.14,0.16,7979018,3333388778,7929,0.0009937313087901,10,0,0
2019-05,282,361901,33.14,0.16,7979018,3333388778,7929,0.0009937313087901,10,1,0
2019-05,961,1359950,33.14,0.16,7979018,3333388778,7929,0.0009937313087901,12,1,0
